ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=438ff20739b4b8a9,정보계 데이터관리 프로그램 개발(대리급) 초빙 - 유명 금융권,로이스에이치알 서울,,"경험, 고객 정보, 직원 실적, 영업활동 등 개발 경력자 로이스에이치알 JAVA, C·C++ 경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건... 통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=4bf15b1cfc61a5b8,C사 내부시스템 개발(C#/6개월/판교),디와이즈 성남 분당구,,칼텍스 SHE 구축 · 현대상선 선박관제시스템 구축 · 이마트24 하이패스 연동 개발 · 롯데글로벌로지스 물류시스템 개선 · CJ푸드빌 결제시스템 구축 · LF수트몰 구축 인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA
https://kr.indeed.com/viewjob?jk=673583ea33eb556a,링크샵스 백엔드(Backend) 개발 및 유지보수 담당,링크샵스 서울 중구,,"Nodejs 실무 2년이상, 실무DB 모델링 경험, AWS 경험 • Elasticsearch/NoSQL 경험 • Java script 개발경험 • 비동기식 대용량 요청을 처리 환경(API 등을 통한)에 대한 경험 • 버전관리..."
https://kr.indeed.com/viewjob?jk=954feb48498de3ac,웹서버 개발자 경력직,플라즈맵 대전 유성구,,그래머>JSP|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP |인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>EJB|인터넷·IT·통신·모바일·게임>웹프로그래머>.NET|인터...
https://kr.indeed.com/viewjob?jk=f8ee4cfdf4dd6934,성장하는 핀테크 스타트업 BackEnd Developer 경력직,웨이브릿지 서울 강남구,,"수평적인 문화 자격요건 컴퓨터공학과, 전산과 졸업하신 분. 논리적인 사고 및 알고리즘을 좋아하시는 분 Java, Spring 및 Design Pattern 에 대한 이해 Python 데이터 분석 및 웹개발 경험 RESTful..."
https://kr.indeed.com/viewjob?jk=f7f8f48783622618,LINE LIVE 모바일 클라이언트 개발,LINE Plus corporation 성남 서현역,,Experience in developing Android native application with Java 【Preferred】 - Basic knowledge of computer science (algorithm...
https://kr.indeed.com/viewjob?jk=51826951fe6af94e,Java 또는 JSP 개발자,스마트스텝 경상북도 구미,"연봉 40,000,000원 - 42,000,000원","성별 무관 기타 담당업무 * Technical Specification - Java/JSP/Spring - HTML5/CSS - JavaScript... 그래머웹프로그래머, ASP, JSP, JAVA, Servlet, CORBA..."
https://kr.indeed.com/viewjob?jk=fd7f09cd13e24619,"PHP, MYSQL, JSP, 경력 개발직 소중한 인재",인비즈소프트 서울 광진구,"연봉 40,000,000원 - 50,000,000원",게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP |인터넷·IT·통신... 통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프...
https://kr.indeed.com/viewjob?jk=03a297ddf42559c7,인사시스템 개발 및 운영 담당자 (경력),네오위즈 대한민국,,"급여,근태,평가,복리후생 관련 인사시스템 개발 및 운영 - JAVA 기반 웹서비스 개발 ㄴ 인사시스템 연동을 위한 인터페이스 개발 및 운영 자격요건 - 3년 이상의 JAVA 기반 개발 경력이 있는 분 - Spring..."
https://kr.indeed.com/viewjob?jk=ea7a7ab6e15151c1,WaveBridge BackEnd Developer 경력직,웨이브릿지 서울 강남구,,"적인 조직문화 자격요건 컴퓨터공학과, 전산과 졸업하신 분. 논리적인 사고 및 알고리즘을 좋아하시는 분 Java, Spring 및 Design Pattern 에 대한 이해 Python 데이터 분석 및 웹개발 경험 RESTful..."
https://kr.indeed.com/viewjob?jk=e17ba478171e983a,[데이터플랫폼팀] 데이터 엔지니어,심플렉스 서울 동작구,,설계 및 구현 - Stream / Event 기반 프로세스 설계 및 구현 자격요건 - 3년이상 경력자 - Java 개발 경력 3년 이상 - Stream / Event 처리 프로젝트 경력 - 비동기 / 분산처리 프로그램...
https://kr.indeed.com/viewjob?jk=fca9829db0fc38d5,VR소프트웨어 개발기업 (주)민트팟,민트팟 성남 분당구,,"[응용 프로그래밍] - C, C++, JAVA, 임베디드 개발 유경험자 - .NET 프레임워크에 대한 기반 지식 보유자 - 네트워크 프로그래밍에 대한 경험자 - DB 설계 및 DBMS(MS-SQL, MySQL, ORACLE)에..."
https://kr.indeed.com/viewjob?jk=e04d3010983902b3,웹사이트 및 SNS 운영자,씨앤피사이언스 서울 강남구,"월급 1,800,000원","상 중 하 공인시험 등급/점수 이상 컴퓨터 활용 문서작성,스프레드시트,프리젠테이션,기타( 그래픽 프로그램, Java, PHP, Mysql 사용 가능자 우대 ) 채용가능 장애유형 장려금 지급 대상자 채용희망 근로조건 근로조건..."
